Tiêu đề,Diện tích(m2),Số phòng ngủ,Số phòng WC,Thời gian đăng,Tỉnh/Thành,Quận/Huyện,Hướng nhà,Hướng ban công,Loại nhà,Giá,Link
Chưa tới 30tr/m2 - Hàng ngộp bank BAO ĐẦU TƯ - HẠ CHÀO 1.1 TỶ,150.0,2.0,1.0,10/12/2023,TP Hồ Chí Minh,Nhà Bè,,,Bán Nhà riêng,3899000000.0,https://batdongsan.vn/chua-toi-30trm2-hang-ngop-bank-bao-dau-tu-ha-chao-11-ty-r285164
"Bán nhà HXH Âu Cơ Phường 9 Tân Bình, 51m2 3 Tầng, giá 5 tỷ nhỉnh",51.0,,,10/12/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,5.5,https://batdongsan.vn/ban-nha-hxh-au-co-phuong-9-tan-binh-51m2-3-tang-gia-5-ty-nhinh-r285163
"SÁT MẶT TIỀN PHAN ĐĂNG LƯU, PHƯỜNG 7, PHÚ NHUẬN, 2 TẦNG BTCT, 45M2, 4.x TỶ",45.0,2.0,2.0,10/12/2023,TP Hồ Chí Minh,Phú Nhuận,,,Bán Nhà,4.6,https://batdongsan.vn/sat-mat-tien-phan-dang-luu-phuong-7-phu-nhuan-2-tang-btct-45m2-4x-ty-r285162
CHỦ GẤP BÁN TRƯỚC TẾT LÊ HỒNG PHONG QUẬN 5 RA MẶT TIỀN ĐƯỜNG 15M,41.0,,,10/12/2023,TP Hồ Chí Minh,Quận 5,,,Bán Nhà riêng,7.35,https://batdongsan.vn/chu-gap-ban-truoc-tet-le-hong-phong-quan-5-ra-mat-tien-duong-15m-r285161
"LŨY BÁN BÍCH,TÂN PHÚ-DIỆN TÍCH KHỦNG 96M2 ( 4.3*22.5M) CHỈ 5TỶX",96.0,2.0,1.0,07/12/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,,https://batdongsan.vn/luy-ban-bichtan-phu-dien-tich-khung-96m2-43225m-chi-5tyx-r285159
"Bán nhà trong ngõ Lê Trọng Tấn, TK hiện đại, 40mx4t, giá 3.95 tỷ",40.0,4.0,3.0,08/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,3.95,https://batdongsan.vn/ban-nha-trong-ngo-le-trong-tan-tk-hien-dai-40mx4t-gia-395-ty-r285158
"Bán nhà trong ngõ Lê Trọng Tấn, TK hiện đại, 40mx4t, giá 3.95 tỷ",40.0,4.0,3.0,08/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,3.95,https://batdongsan.vn/ban-nha-trong-ngo-le-trong-tan-tk-hien-dai-40mx4t-gia-395-ty-r285157
BÁN NHÀ PHỐ HOÀNG VĂN THÁI 59M - MT 3.6M - NGÕ THÔNG Ô TÔ - 30M Ô TÔ TRÁNH - 4 NGỦ Ở NGAY. LH: 0393838449,59.0,,,08/12/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,7.95,https://batdongsan.vn/ban-nha-pho-hoang-van-thai-59m-mt-36m-ngo-thong-o-to-30m-o-to-tranh-4-ngu-o-ngay-lh-0393838449-r285155
"✅ BÁN NHÀ MỚI ĐẸP 7 X 13, CHỈ 3.5 TỶ, HẺM XE HƠI. CHỐT",,3.0,3.0,08/12/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà mặt phố,,https://batdongsan.vn/ban-nha-moi-dep-7-x-13-chi-35-ty-hem-xe-hoi-chot-r285145
"SIÊU PHẨM Chào bán căn Biệt Thự mặt đường Lê Hồng Phong, Hải Phòng. Vị trí đẹp",425.0,6.0,6.0,08/12/2023,Hải Phòng,Ngô Quyền,Tây-Nam,Tây-Nam,Bán Nhà mặt phố,17.0,https://batdongsan.vn/sieu-pham-chao-ban-can-biet-thu-mat-duong-le-hong-phong-hai-phong-vi-tri-dep-r285144
"Bán Nhà Mặt tiền đường Kha Vạn Cân, P. Linh Đông, dt 180m2 giá 19 tỷ TL",180.0,,,08/12/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà,19.0,https://batdongsan.vn/ban-nha-mat-tien-duong-kha-van-can-p-linh-dong-dt-180m2-gia-19-ty-tl-r285142
"Bán nhà Âu Cơ-Tây Hồ 42m, NGÕ THÔNG, DÂN XÂY 4 ngủ chỉ 5.29 tỷ",42.0,4.0,3.0,08/12/2023,Hà Nội,Tây Hồ,,,Bán Nhà riêng,5.29,https://batdongsan.vn/ban-nha-au-co-tay-ho-42m-ngo-thong-dan-xay-4-ngu-chi-529-ty-r285138
"Bán nhà phố Đào Tấn, Ba Đình, gần phố, ở ngay 6 tầng 39m2 giá 8.6 tỷ",39.0,4.0,5.0,08/12/2023,Hà Nội,Ba Đình,,,Bán Nhà riêng,8.6,https://batdongsan.vn/ban-nha-pho-dao-tan-ba-dinh-gan-pho-o-ngay-6-tang-39m2-gia-86-ty-r285137
Trương Đức Toàn,80.0,8.0,8.0,08/12/2023,TP Hồ Chí Minh,Quận 11,Nam,Nam,Bán Nhà mặt phố,21.8,https://batdongsan.vn/truong-duc-toan-r285135
"Nhà 6 Tầng, Hộ Khẩu Cầu Giấy, Ô Tô Đỗ Cửa, Ngõ Thông",40.0,3.0,4.0,08/12/2023,Hà Nội,Cầu Giấy,,,Bán Nhà riêng,5.95,https://batdongsan.vn/nha-6-tang-ho-khau-cau-giay-o-to-do-cua-ngo-thong-r285134
"SÁT MẶT TIỀN BẠCH ĐẰNG, PHƯỜNG 14, BÌNH THẠNH, 3 TẦNG BTCT, 33M2, 4.x TỶ",33.0,3.0,3.0,08/12/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà,4.0,https://batdongsan.vn/sat-mat-tien-bach-dang-phuong-14-binh-thanh-3-tang-btct-33m2-4x-ty-r285129
"Phân lô ô tô tránh Hà Đông, dân trí cao, an ninh tốt, 54m2, 6.9 tỷ",54.0,,,08/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,6.9,https://batdongsan.vn/phan-lo-o-to-tranh-ha-dong-dan-tri-cao-an-ninh-tot-54m2-69-ty-r285128
